,funded_amnt_inv,int_rate,installment,annual_inc,loan_status,dti,revol_bal,revol_util,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt
88,12000.0,16.29,423.61,88365.0,0.0,16.85,22936.0,96.4,14688.34,12000.0,2688.34,0.0,0.0,0.0,5800.45
89,12000.0,13.49,407.17,72000.0,0.0,21.33,3419.0,27.6,13990.92,12000.0,1990.92,0.0,0.0,0.0,426.26
90,12000.0,10.65,390.88,62000.0,0.0,23.94,20310.0,78.4,12780.07,12000.0,780.07,0.0,0.0,0.0,10046.57
91,7000.0,10.65,228.02,43680.0,0.0,5.38,6245.0,78.1,7689.27,7000.0,689.27,0.0,0.0,0.0,4958.61
92,8200.0,19.42,214.62,120000.0,0.0,2.8,10392.0,88.4,11909.45,8200.0,3709.45,0.0,0.0,0.0,4625.07
93,10500.0,12.69,352.23,66000.0,0.0,20.73,5790.0,51.2,11233.32,10500.0,733.32,0.0,0.0,0.0,4421.32
94,7000.0,11.71,231.54,39120.0,0.0,21.01,9414.0,52.4,7933.96,7000.0,933.96,0.0,0.0,0.0,4235.03
95,15275.0,22.06,423.1,85000.0,0.0,20.58,26524.0,89.7,25343.6,15300.0,10085.08,0.0,0.0,0.0,422.18
96,12775.0,11.71,282.86,47800.0,0.0,10.04,16447.0,46.3,15139.68,12800.0,2369.31,0.0,0.0,0.0,9242.39
97,17500.0,17.27,437.47,45000.0,1.0,21.31,20129.0,86.1,10037.7,3077.85,3473.25,0.0,3486.6,625.6169999983,437.47
98,3500.0,6.03,106.53,83000.0,0.0,2.31,3092.0,13.4,3834.86,3500.0,334.86,0.0,0.0,0.0,107.86
99,6000.0,12.69,135.57,81000.0,0.0,13.66,15102.0,50.0,8134.05,6000.0,2134.05,0.0,0.0,0.0,135.42
100,6200.0,9.91,199.8,25000.0,1.0,20.64,6533.0,47.7,2456.33,1700.79,493.16,0.0,262.38,2.54,199.8
101,16000.0,17.58,402.65,65000.0,0.0,15.56,21166.0,87.1,24011.06,16000.0,8011.06,0.0,0.0,0.0,3073.26
102,6000.0,8.9,190.52,28800.0,0.0,13.17,5269.0,36.8,6858.7,6000.0,858.7,0.0,0.0,0.0,198.47
103,7200.0,9.91,232.02,135000.0,0.0,6.12,16627.0,79.6,8352.71,7200.0,1152.71,0.0,0.0,0.0,240.64
104,9500.0,8.9,301.66,50000.0,0.0,8.18,13422.0,60.5,10495.82,9500.0,995.82,0.0,0.0,0.0,5378.43
105,18800.0,16.77,465.53,38000.0,1.0,23.18,11004.0,79.7,18724.53,8087.75,6786.71,0.0,3874.79,670.8193000184,465.53
106,24000.0,10.65,781.76,45000.0,0.0,14.8,24708.0,55.2,28143.25,24000.0,4143.25,0.0,0.0,0.0,791.58
107,6000.0,13.49,203.59,80000.0,0.0,11.58,15499.0,83.8,7328.92,6000.0,1328.92,0.0,0.0,0.0,212.86
108,6000.0,13.49,203.59,50000.0,0.0,15.38,15191.0,91.5,7328.92,6000.0,1328.92,0.0,0.0,0.0,214.39
109,2100.0,12.42,70.18,30000.0,0.0,19.72,12183.0,82.9,2553.84,2100.0,423.84,30.000000000100002,0.0,0.0,72.44
110,5500.0,6.62,168.88,110000.0,0.0,9.69,14136.0,21.9,6079.29,5500.0,579.29,0.0,0.0,0.0,178.58
111,11000.0,6.62,337.75,45608.0,0.0,20.5,10677.0,58.7,12158.61,11000.0,1158.61,0.0,0.0,0.0,349.86
112,26800.0,20.89,723.38,120000.0,0.0,12.15,14772.0,48.0,32895.86,26800.0,6095.86,0.0,0.0,0.0,23499.05
113,8000.0,12.69,268.36,35000.0,0.0,10.05,6842.0,97.7,9000.14,8000.0,1000.14,0.0,0.0,0.0,5514.5
114,10000.0,18.25,362.78,75000.0,1.0,24.14,22828.0,96.3,11730.6,8320.22,3145.08,36.24699818069,229.06,2.2906,200.0
115,8000.0,11.71,264.61,35000.0,0.0,9.7,6142.0,46.5,9435.86,8000.0,1435.86,0.0,0.0,0.0,2295.56
116,10000.0,8.9,317.54,24000.0,0.0,7.0,6734.0,49.5,10869.33,10000.0,869.33,0.0,0.0,0.0,6743.26
117,12000.0,11.71,396.92,126000.0,0.0,13.32,32711.0,54.1,14183.43,12000.0,2183.43,0.0,0.0,0.0,3074.04
118,10000.0,7.9,312.91,43000.0,0.0,25.26,8215.0,37.2,11264.48,10000.0,1264.48,0.0,0.0,0.0,4.84
119,12000.0,9.91,386.7,50000.0,0.0,16.44,14335.0,29.3,13921.18,12000.0,1921.18,0.0,0.0,0.0,392.03
120,23088.16105796584,13.49,575.12,67000.0,1.0,14.15,15319.0,91.2,20309.6,13833.2,8008.11,28.76,2010.58,361.9044,1179.0
121,19725.0,10.65,643.33,45000.0,1.0,22.8,16576.0,54.2,11916.2,8590.58,2698.78,0.0,641.87,6.4128999974,787.01
122,10000.0,9.91,322.25,31200.0,0.0,14.81,5540.0,27.0,10904.84,10000.0,904.84,0.0,0.0,0.0,6912.69
123,13650.0,12.42,456.12,66000.0,0.0,24.09,8933.0,56.5,16012.11,13650.0,2362.11,0.0,0.0,0.0,5980.83
124,11775.0,19.91,312.04,52000.0,1.0,20.7,29178.0,87.6,12155.52,4281.54,4759.37,0.0,3140.41,563.7887999982,312.04
125,18000.0,7.9,563.23,56964.0,0.0,27.55,17381.0,76.6,20276.06,18000.0,2276.06,0.0,0.0,0.0,567.29
126,2500.0,14.27,85.78,49500.0,0.0,10.33,9868.0,37.7,2529.9,2500.0,29.9,0.0,0.0,0.0,2530.74
127,20120.806572591904,20.3,559.89,70000.0,0.0,23.21,12508.0,70.7,24863.3,21000.0,6097.72,0.0,0.0,0.0,17029.75
128,35000.0,8.9,1111.37,125000.0,0.0,22.71,9051.0,34.8,40009.01,35000.0,5009.01,0.0,0.0,0.0,1123.85
129,10000.0,7.51,311.11,33000.0,0.0,9.75,68.0,0.6,11028.36,10000.0,1028.36,0.0,0.0,0.0,4190.34
130,7000.0,12.69,234.82,30000.0,0.0,15.8,15455.0,47.6,8453.25,7000.0,1453.25,0.0,0.0,0.0,238.06
131,24000.0,15.96,843.3,90000.0,1.0,9.17,30952.0,71.2,5903.1,3813.57,2082.11,0.0,7.42,0.0,843.3
132,10625.0,7.51,330.56,23000.0,0.0,18.89,7114.0,43.4,11843.01,10625.0,1218.01,0.0,0.0,0.0,2594.01
133,5000.0,14.65,172.48,24000.0,0.0,18.3,2429.0,33.3,5682.99,5000.0,682.99,0.0,0.0,0.0,3615.46
134,8850.0,6.62,271.73,62000.0,0.0,17.71,9466.0,35.9,9782.19,8850.0,932.19,0.0,0.0,0.0,5.67
135,6375.0,7.51,198.34,44000.0,0.0,4.8,6324.0,58.0,6737.87,6375.0,362.87,0.0,0.0,0.0,2585.54
136,6000.0,11.71,198.46,90000.0,0.0,2.97,8489.0,56.6,7041.91,6000.0,1041.91,0.0,0.0,0.0,2082.79
137,11100.0,6.62,340.82,41000.0,1.0,29.85,17518.0,62.3,8124.54,6516.79,976.85,0.0,630.9,6.265000000700001,340.82
138,10000.0,12.69,225.95,56000.0,0.0,10.82,10081.0,31.2,12739.07,10000.0,2739.07,0.0,0.0,0.0,5526.53
139,6200.0,6.03,188.71,26500.0,0.0,18.2,2982.0,16.0,6793.18,6200.0,593.18,0.0,0.0,0.0,1.83
140,15000.0,18.64,547.12,54000.0,0.0,19.69,15183.0,90.3,19405.3,15000.0,4405.3,0.0,0.0,0.0,4641.23
141,4200.0,11.71,138.92,53000.0,0.0,16.91,8336.0,79.7,5001.08,4200.0,801.08,0.0,0.0,0.0,141.26
142,14000.0,14.27,480.33,52800.0,0.0,7.36,13378.0,70.8,14488.27,14000.0,488.27,0.0,0.0,0.0,13531.87
143,8875.0,7.51,276.11,38000.0,0.0,23.53,19056.0,62.1,9713.56,8875.0,838.56,0.0,0.0,0.0,4472.8
144,13500.0,9.91,435.04,38000.0,0.0,12.38,16023.0,67.3,15659.01,13500.0,2159.01,0.0,0.0,0.0,307.62
145,12000.0,9.91,386.7,42000.0,1.0,7.83,9749.0,65.4,11242.49,9011.72,1807.88,0.0,422.89,4.1489000016,386.7
146,15975.0,19.91,423.11,55000.0,0.0,15.8,7743.0,72.4,22251.4,16000.0,6286.22,0.0,0.0,0.0,10869.79
147,20498.26578107292,19.42,565.32,60000.0,0.0,16.74,13354.0,78.1,24859.66,21600.0,5986.78,0.0,0.0,0.0,17416.49
148,6000.0,10.65,195.44,87000.0,0.0,12.86,11739.0,40.5,7000.23,6000.0,1000.23,0.0,0.0,0.0,1335.92
149,8425.0,16.77,208.97,25000.0,0.0,22.51,17614.0,83.5,12170.11,8450.0,3756.22,0.0,0.0,0.0,3239.35
150,18590.337769793747,13.49,460.1,82000.0,0.0,17.68,26693.0,61.4,23753.25,20000.0,6403.41,0.0,0.0,0.0,9848.46
151,10000.0,11.71,330.76,60000.0,1.0,22.08,5626.0,29.3,6002.38,4293.91,1388.86,0.0,319.61,57.5028,62.38
152,12000.0,16.29,423.61,80000.0,0.0,18.18,29609.0,97.2,14949.9,12000.0,2949.9,0.0,0.0,0.0,4368.56
153,13450.0,13.49,309.99,25000.0,1.0,21.89,9943.0,65.8,6188.35,3516.74,2682.15,0.0,0.91,0.0,28.0
154,7200.0,12.42,240.59,48000.0,0.0,17.43,16450.0,80.2,8677.64,7200.0,1462.64,15.0000000005,0.0,0.0,19.26
155,5600.0,14.65,193.17,85000.0,1.0,12.24,6812.0,90.8,1352.19,905.39,445.47,0.0,1.33,0.0,193.17
156,11975.0,14.27,411.71,57000.0,0.0,10.86,9273.0,81.5,14371.59,12000.0,2401.6,0.0,0.0,0.0,5359.38
157,8500.0,6.03,258.71,25000.0,0.0,1.73,2463.0,28.0,9074.82,8500.0,574.82,0.0,0.0,0.0,4936.27
158,8000.0,9.91,257.8,34000.0,0.0,18.28,7434.0,78.5,9280.79,8000.0,1280.79,0.0,0.0,0.0,262.31
159,8000.0,12.42,267.33,40000.0,0.0,15.0,18601.0,88.2,9623.54,8000.0,1623.54,0.0,0.0,0.0,269.73
160,8150.0,15.27,382.92,42656.4,0.0,17.44,12830.0,92.3,11406.98,16000.0,6394.08,0.0,0.0,0.0,199.56
161,15000.0,17.27,536.81,44400.0,0.0,3.59,4582.0,91.6,17994.71,15000.0,2994.71,0.0,0.0,0.0,9412.4
162,10000.0,9.91,322.25,30000.0,0.0,11.24,9152.0,66.8,11387.44,10000.0,1387.44,0.0,0.0,0.0,369.43
163,10000.0,6.62,307.04,70000.0,0.0,16.78,10770.0,69.0,10903.47,10000.0,903.47,0.0,0.0,0.0,4152.52
164,8000.0,14.65,275.96,28000.0,0.0,12.6,6187.0,54.3,8637.02,8000.0,637.02,0.0,0.0,0.0,6983.56
165,22000.0,9.91,708.95,50000.0,0.0,13.22,21470.0,49.8,25523.45,22000.0,3523.45,0.0,0.0,0.0,1430.05
166,6000.0,14.27,205.86,94800.0,0.0,24.53,71890.0,95.9,7217.55,6000.0,1217.55,0.0,0.0,0.0,1960.88
167,15975.0,9.91,339.25,40000.0,0.0,9.39,13270.0,28.5,20177.48,16000.0,4209.06,0.0,0.0,0.0,3585.81
168,2500.0,7.51,77.78,12000.0,1.0,16.3,4853.0,42.2,1838.88,1575.06,253.74,0.0,10.08,0.0,77.78
169,13500.0,9.91,435.04,36000.0,0.0,22.93,25011.0,67.2,15622.38,13500.0,2122.38,0.0,0.0,0.0,1706.24
170,25000.0,12.42,835.39,225000.0,0.0,8.32,30449.0,34.6,30073.68,25000.0,5073.68,0.0,0.0,0.0,842.08
171,10000.0,13.49,339.31,45900.0,0.0,24.97,8936.0,48.3,12177.63,10000.0,2177.63,0.0,0.0,0.0,1669.38
172,2500.0,13.49,84.83,27200.0,0.0,6.44,3473.0,68.1,3053.71,2500.0,553.71,0.0,0.0,0.0,95.98
173,7325.0,12.69,245.72,42000.0,0.0,22.57,7281.0,65.0,8845.75,7325.0,1520.75,0.0,0.0,0.0,249.25
174,4000.0,12.42,133.67,135000.0,0.0,12.12,29311.0,85.7,4337.43,4000.0,337.43,0.0,0.0,0.0,3270.11
175,10000.0,13.49,339.31,65000.0,1.0,6.92,14292.0,69.5,9270.84,6799.56,2011.75,0.0,459.53,4.4878,339.31
176,7750.0,17.27,277.36,24000.0,1.0,16.1,2348.0,67.1,6934.0,4935.39,1986.7,0.0,11.91,0.0,277.36
177,20000.0,20.89,539.84,70000.0,1.0,16.63,10470.0,79.9,5427.53,1318.27,3034.08,0.0,1075.18,10.48,591.09
178,9600.0,12.42,320.79,65000.0,0.0,11.65,11279.0,70.9,11338.82,9600.0,1738.82,0.0,0.0,0.0,3643.9
179,21000.0,11.71,464.07,60000.0,1.0,6.62,10543.0,79.9,3712.56,2142.87,1565.37,0.0,4.32,0.0,464.07
180,14000.0,10.65,456.03,30000.0,0.0,15.52,15542.0,65.6,15200.41,14000.0,1200.41,0.0,0.0,0.0,10643.16
181,13350.0,12.42,446.1,43000.0,0.0,20.57,11531.0,95.3,16059.37,13350.0,2709.37,0.0,0.0,0.0,449.39
182,15000.0,16.77,533.08,42000.0,1.0,19.63,8238.0,74.9,13373.77,8365.66,3923.4,0.0,1084.71,40.7831000068,188.69
183,15000.0,17.27,536.81,75000.0,1.0,16.03,13505.0,75.9,10199.39,6944.85,3238.39,0.0,16.15,5.64,536.81
184,10750.0,13.49,253.06,129000.0,0.0,10.94,1735.0,24.1,14778.09,11000.0,4121.77,0.0,0.0,0.0,1962.65
185,35000.0,10.65,1140.07,168000.0,0.0,3.17,1099.0,1.4,38061.5,35000.0,3061.5,0.0,0.0,0.0,272.59
186,9000.0,10.65,293.16,74000.0,0.0,8.89,7388.0,71.7,10553.74,9000.0,1553.74,0.0,0.0,0.0,6.65
187,22425.0,15.27,537.87,52000.0,0.0,15.23,18554.0,61.8,32009.32,22475.0,9605.69,0.0,0.0,0.0,4649.32
188,16000.0,12.69,536.72,58500.0,1.0,20.64,26224.0,89.3,12295.72,9479.47,2778.95,26.835510871565,10.47,1.7799000028999998,528.58
189,13500.0,12.69,452.86,71000.0,0.0,11.97,6681.0,77.7,16302.76,13500.0,2802.76,0.0,0.0,0.0,456.95
190,24000.0,12.69,805.08,75000.0,0.0,11.6,21609.0,84.6,28982.71,24000.0,4982.71,0.0,0.0,0.0,819.13
191,12000.0,10.65,390.88,60000.0,0.0,10.84,11849.0,48.8,14071.63,12000.0,2071.63,0.0,0.0,0.0,396.1
192,8150.0,16.77,207.73,87996.0,0.0,11.35,9551.0,80.3,11924.85,8400.0,3890.64,0.0,0.0,0.0,2319.6
193,27975.0,17.58,704.64,140000.0,0.0,12.07,2686.0,13.4,28385.78,28000.0,411.15,0.0,0.0,0.0,28412.43
194,14000.0,6.62,429.86,66000.0,0.0,11.15,12095.0,35.4,15451.16,14000.0,1451.16,0.0,0.0,0.0,2133.17
195,12000.0,14.27,411.71,70000.0,1.0,8.4,11546.0,86.2,4249.37,2534.26,1163.48,0.0,551.63,5.32,411.71
196,25000.0,11.71,826.9,100000.0,0.0,6.88,21128.0,89.1,29279.45,25000.0,4279.45,0.0,0.0,0.0,1122.55
197,9000.0,12.69,301.91,50000.0,0.0,17.81,12752.0,55.4,10868.48,9000.0,1868.48,0.0,0.0,0.0,306.11
198,13250.0,10.65,431.6,35000.0,0.0,24.93,13392.0,58.7,15537.4,13250.0,2287.4,0.0,0.0,0.0,437.68
199,20000.0,13.49,678.61,75000.0,0.0,22.38,19548.0,90.8,23865.34,20000.0,3865.34,0.0,0.0,0.0,8269.74
200,3000.0,14.65,103.49,71000.0,0.0,21.84,15072.0,88.7,3725.31,3000.0,725.31,0.0,0.0,0.0,107.29
